iter	RMSE
0	0.6441047475
1	0.6220608736
2	0.6030432003
3	0.5863003015
4	0.5714338921
5	0.5586901739
6	0.546813286
7	0.5364180181
8	0.5264452777
9	0.5181652462
10	0.5102086065
11	0.5036508696
12	0.4975945132
13	0.4919753765
14	0.4876240022
15	0.4830962076
16	0.479363693
17	0.4759403983
18	0.4722607714
19	0.4693338862
20	0.4662052652
21	0.4636418767
22	0.461234532
23	0.4592337655
24	0.4572522334
25	0.4549632643
26	0.453148856
27	0.4516237478
28	0.4504272209
29	0.4486380771
30	0.4471083607
31	0.4458053628
32	0.4448646194
33	0.4437881791
34	0.4427877773
35	0.4415683885
36	0.440829059
37	0.4399940859
38	0.4389875893
39	0.4383277601
40	0.4374640764
41	0.4370173583
42	0.4364620206
43	0.4348905997
44	0.4337382369
45	0.4331750395
46	0.4321054202
47	0.4315489302
48	0.4305732544
49	0.4299942469
50	0.4296209441
51	0.4287428955
52	0.4282041964
53	0.4272217884
54	0.4269440172
55	0.4267462871
56	0.4258370536
57	0.4248607124
58	0.4239045223
59	0.422620836
60	0.4219665874
61	0.4215883354
62	0.4212716069
63	0.4209762874
64	0.4200602568
65	0.4197613156
66	0.4192631605
67	0.4180716703
68	0.4173544882
69	0.4168768087
70	0.4165819481
71	0.4163280466
72	0.4160833326
73	0.4156962056
74	0.415591618
75	0.4150841546
76	0.4147514729
77	0.4143256535
78	0.4143099284
79	0.4140239587
80	0.4137326062
81	0.4134395088
82	0.4129219514
83	0.4125738674
84	0.4120202503
85	0.4116695118
86	0.4112957027
87	0.4105988684
88	0.4098617261
89	0.4097140282
90	0.4088723682
91	0.4085333926
92	0.4082412208
93	0.4081550881
94	0.4076783465
95	0.4073473162
96	0.4068970332
97	0.4066077479
98	0.4063006085
99	0.4060252649
100	0.4060173598
101	0.4057381453
102	0.4052574807
103	0.4050978532
104	0.4044157175
105	0.4042100053
106	0.4037353748
107	0.403197959
108	0.402620519
109	0.4023513234
110	0.4018262075
111	0.4015116817
112	0.4012235453
113	0.4009133461
114	0.400684397
115	0.4002807603
116	0.399912029
117	0.3994111507
118	0.3992398739
119	0.3991578303
120	0.399004698
121	0.3987666837
122	0.3985031151
123	0.3981779383
124	0.3979193865
125	0.3974111236
126	0.397032801
127	0.3967779329
128	0.3966146956
129	0.3964362159
130	0.396039414
131	0.3956293422
132	0.3954467235
133	0.3953394688
134	0.3951134198
135	0.3949403073
136	0.3947622527
137	0.3945385433
138	0.3942963804
139	0.3942220895
140	0.394056736
141	0.3938591859
142	0.3935650086
143	0.3932107832
144	0.392909808
145	0.392796038
146	0.3927059048
147	0.3925078229
148	0.3923328448
149	0.3920640579
150	0.3918106612
151	0.3916720424
152	0.3913051994
153	0.3910145204
154	0.3909610098
155	0.390539478
156	0.3903759816
157	0.3900336679
158	0.3898755639
159	0.3898406153
160	0.3894977142
161	0.389143469
162	0.3888816074
163	0.3886111418
164	0.3884060424
165	0.3880984577
166	0.388003248
167	0.3879161241
168	0.3877868425
169	0.3876555301
170	0.3875195775
171	0.3872860517
172	0.3870329371
173	0.3869636147
174	0.3868258959
175	0.3865201842
176	0.3864458223
177	0.3860590614
178	0.3858541107
179	0.3856887275
180	0.3856274635
181	0.3853676547
182	0.3852186536
183	0.3851801551
184	0.3850058158
185	0.3846917954
186	0.3843857652
187	0.3842847075
188	0.3842324634
189	0.3841193164
190	0.3839267331
191	0.3837939857
192	0.3836621777
193	0.3835325056
194	0.3833270797
195	0.3830371485
196	0.3828493973
197	0.3826575519
198	0.382454609
199	0.382207621
200	0.3821543516
201	0.3821098314
202	0.3818534422
203	0.3817512784
204	0.3815427913
205	0.3813295234
206	0.3810656211
207	0.3810022352
208	0.3809259354
209	0.3807808005
210	0.3805542955
211	0.3804700325
212	0.3803769746
213	0.3802221754
214	0.3800990156
215	0.37996237
216	0.3797832265
217	0.3796035381
218	0.3794906323
219	0.3794298757
220	0.3791937134
221	0.3788563643
222	0.3788108993
223	0.3784990313
224	0.3783786397
225	0.3782241439
226	0.378114691
227	0.3779105686
228	0.3778636518
229	0.3776866866
230	0.377542811
231	0.377370611
232	0.3772535847
233	0.3771646972
234	0.3770765443
235	0.3769588519
236	0.376865977
237	0.3766933438
238	0.376530976
239	0.3764147189
240	0.3762314396
241	0.3760974637
242	0.3759157619
243	0.3758203565
244	0.37565752
245	0.375480107
246	0.3754385305
247	0.3752999838
248	0.3750456526
249	0.3747933936
250	0.3747120812
251	0.3745860067
252	0.374419458
253	0.374225329
254	0.3740953011
255	0.3740330079
256	0.3739481476
257	0.3738034742
258	0.3736832377
259	0.3734358073
260	0.3733848819
261	0.3732418465
262	0.373143908
263	0.37308044
264	0.3729784271
265	0.3729495823
266	0.3728695729
267	0.3727978355
268	0.3727215136
269	0.3724476665
270	0.372368386
271	0.3721927462
272	0.3719741011
273	0.3719026181
274	0.371789686
275	0.3715773326
276	0.3714303265
277	0.3714088349
278	0.3712418273
279	0.3711296651
280	0.3709805375
281	0.3709371176
282	0.3708494138
283	0.3707361666
284	0.3706582732
285	0.3706062712
286	0.3705754471
287	0.3705537555
288	0.3704491257
289	0.3704075391
290	0.3703868255
291	0.3702847899
292	0.3701493047
293	0.3699808128
294	0.3698503881
295	0.369743593
296	0.3696032882
297	0.3695323356
298	0.3694343709
299	0.3694199742
