iter	Passed	Remaining
0	42	12760
1	80	12060
2	119	11857
3	157	11677
4	196	11577
5	234	11508
6	271	11366
7	311	11368
8	349	11293
9	386	11212
10	423	11130
11	461	11083
12	497	10975
13	532	10880
14	570	10838
15	605	10752
16	642	10696
17	679	10640
18	714	10568
19	749	10497
20	786	10450
21	825	10425
22	861	10380
23	900	10355
24	937	10307
25	973	10258
26	1016	10278
27	1058	10278
28	1097	10254
29	1133	10199
30	1169	10152
31	1209	10133
32	1246	10083
33	1281	10029
34	1321	10008
35	1357	9957
36	1394	9913
37	1431	9868
38	1467	9819
39	1504	9777
40	1542	9741
41	1577	9687
42	1613	9643
43	1655	9632
44	1694	9600
45	1729	9551
46	1770	9532
47	1810	9502
48	1851	9485
49	1889	9449
50	1928	9414
51	1974	9417
52	2018	9407
53	2058	9377
54	2098	9345
55	2135	9306
56	2174	9268
57	2208	9213
58	2241	9154
59	2274	9097
60	2309	9048
61	2346	9006
62	2379	8953
63	2417	8914
64	2451	8864
65	2488	8824
66	2520	8764
67	2552	8708
68	2587	8661
69	2623	8619
70	2662	8586
71	2700	8552
72	2737	8511
73	2771	8463
74	2808	8424
75	2841	8375
76	2876	8330
77	2909	8281
78	2918	8164
79	2951	8117
80	2985	8072
81	3020	8031
82	3058	7995
83	3096	7961
84	3138	7937
85	3171	7892
86	3213	7868
87	3255	7842
88	3295	7814
89	3354	7827
90	3398	7804
91	3436	7768
92	3472	7730
93	3505	7682
94	3541	7643
95	3576	7600
96	3611	7559
97	3650	7525
98	3684	7481
99	3721	7442
100	3728	7347
101	3770	7318
102	3809	7286
103	3845	7246
104	3879	7203
105	3910	7157
106	3945	7117
107	3984	7083
108	4018	7041
109	4055	7005
110	4090	6965
111	4128	6930
112	4162	6887
113	4193	6842
114	4225	6797
115	4260	6757
116	4296	6720
117	4331	6680
118	4367	6643
119	4407	6610
120	4447	6579
121	4485	6544
122	4519	6503
123	4554	6464
124	4588	6423
125	4621	6381
126	4660	6348
127	4702	6318
128	4740	6283
129	4781	6253
130	4823	6222
131	4867	6195
132	4902	6155
133	4934	6113
134	4967	6071
135	5001	6031
136	5039	5995
137	5075	5958
138	5116	5926
139	5154	5890
140	5193	5856
141	5234	5824
142	5273	5789
143	5313	5756
144	5351	5720
145	5391	5687
146	5439	5661
147	5481	5630
148	5526	5600
149	5564	5564
150	5596	5522
151	5632	5484
152	5668	5445
153	5706	5410
154	5748	5377
155	5787	5342
156	5824	5304
157	5857	5264
158	5897	5229
159	5921	5181
160	5961	5147
161	6003	5113
162	6041	5078
163	6083	5044
164	6121	5008
165	6161	4974
166	6197	4936
167	6230	4895
168	6263	4855
169	6298	4816
170	6335	4779
171	6368	4738
172	6406	4703
173	6441	4664
174	6476	4626
175	6509	4585
176	6543	4546
177	6581	4511
178	6618	4473
179	6656	4437
180	6688	4397
181	6723	4359
182	6763	4324
183	6789	4280
184	6830	4245
185	6866	4208
186	6905	4172
187	6939	4134
188	6977	4097
189	7012	4059
190	7050	4023
191	7086	3986
192	7124	3949
193	7159	3911
194	7193	3873
195	7230	3836
196	7266	3799
197	7307	3764
198	7346	3728
199	7384	3692
200	7422	3656
201	7456	3617
202	7494	3581
203	7531	3544
204	7572	3509
205	7608	3471
206	7648	3436
207	7689	3401
208	7731	3366
209	7769	3329
210	7808	3293
211	7845	3256
212	7881	3219
213	7919	3182
214	7956	3145
215	7995	3109
216	8029	3071
217	8066	3034
218	8103	2997
219	8142	2960
220	8189	2927
221	8296	2914
222	8335	2878
223	8369	2839
224	8402	2800
225	8438	2762
226	8475	2725
227	8507	2686
228	8541	2648
229	8576	2610
230	8609	2571
231	8643	2533
232	8677	2495
233	8715	2458
234	8752	2420
235	8788	2383
236	8824	2345
237	8864	2309
238	8901	2271
239	8938	2234
240	8979	2198
241	9019	2161
242	9054	2123
243	9089	2086
244	9126	2048
245	9158	2010
246	9191	1972
247	9224	1934
248	9265	1897
249	9306	1861
250	9350	1825
251	9389	1788
252	9421	1750
253	9456	1712
254	9491	1675
255	9531	1638
256	9569	1601
257	9608	1564
258	9644	1526
259	9681	1489
260	9713	1451
261	9748	1413
262	9784	1376
263	9820	1339
264	9860	1302
265	9899	1265
266	9934	1227
267	9967	1190
268	10002	1152
269	10041	1115
270	10075	1078
271	10109	1040
272	10144	1003
273	10180	966
274	10214	928
275	10249	891
276	10282	853
277	10315	816
278	10349	779
279	10383	741
280	10422	704
281	10455	667
282	10489	630
283	10522	592
284	10558	555
285	10591	518
286	10623	481
287	10657	444
288	10690	406
289	10722	369
290	10758	332
291	10795	295
292	10828	258
293	10863	221
294	10898	184
295	10932	147
296	10973	110
297	11011	73
298	11057	36
299	11092	0
